ちょっと残念...,今回初めて購入しました。送料無料の上におまけも付いていました。アーモンドの粒もとてもきれいでしたが、たまに煎りすぎてるのか焦げ臭いのが有り残念です。,499,1
アーモンド,美味しかった！！！！！！お菓子作りにも使えて便利でした！パウンドケーキにして焼くと風味があって更に美味しい！,454,1
アーモンドを買うならここ！,アーモンドのムラがなく、適度なローストで栄養価も保持しており（他は焼きすぎたりムラがある）とてもおいしいです何より値段が安く、おまけをいつも付けてくれます包装の袋もジッパー式でそのまま使え大変便利ですここに切り替えてからは他では購入していません安さと品質は企業努力の賜物ですいつも感謝しております最近値上がりしたので購入しておりません残念です,608,2
値段が上がってしまった。,以前は、2380円位だったのが、約500円位値段が上がってしまった。美味しかったのに、とても残念です。毎日食べるものなので、少しでも安い方が助かります。企業努力をして、もう少し値段を下げて下さい。宜しくお願いします。,408,5
買ってよかった(*^^*),すごく美味しいです！！無くなったらﾘﾋﾟｰﾄします！値段が2000円だったらもっと嬉しいです♪,572,1
星五個です。,スーパーなどで置いてないか、酒のつまみとして有る位の所が多い。１００ｇあたりで２３８円は、高くないと思います。,540,1
おいしいですよ！,食べだすと美味しくて止まらなくなってしまいますが…糖分いっぱいの高カロリーのお菓子よりはベターですよね？,461,1
リピ買い確定です！,今まで近所のスーパーで買ってましたが値上がりした為こちらの商品を今回初めて購入しました。美味しいし品質も良いと思います！北海道住みなので送料込みでこの安さは申し訳ないくらいです(^_^;)しかも柿ピーのオマケまでつけて下さる心遣いが嬉しいですね。無くなったら又買いたいと思います！,561,2
思ったより！,無塩でもスゴく美味しいです(*'ω｀*)友達にも勧めました！またリピするつもりです！,543,1
質がいい。,粒揃いで問題ない品質です。香ばしく美味しいです。アーモンドミルクを作ってます。また、リピします。,156,1
たっぷりはいってお得！,美味しかったです。サービスの試食品もありがとうございました。次もまた注文したいと思います。,225,1
美味しい,とても美味しいアーモンドです。おまけのいちご柿ピーもとっても美味しかったです♪,205,1
アンチエイジングに,冷え性、便秘改善にいいと聞いて購入してみました。便秘は改善しました。糖質は少ないし、食べ応えがあるのでダイエットによさそうです。また、リピートします。,672,2
美味しいです。,健康のために家族で食べてます。また間違いなくリピすると思います。,551,1
美味しいです,健康のためと製菓用に購入しました。香ばしい香りで美味しいです。,160,1
満足,大容量で、まだ全部は食べていませんが、味にも不満はなさそうです。満足です。,93,1
おいしいです！,袋もシールばっちり。コスパ良くておいしいです。また、注文したいと思います。,538,1
１㎏無添加素焼きアーモンド,依頼して、良かったです。毎日、頂いています。健康にいい食品ですね。,544,1
最高,すごくおしいかった！また、無くなったら購入したいと思ってます。,88,1
ローストしてあり便利,粒もまずまずで味もよいのでおいしく毎日20粒ずつ食べています,541,1
やや新鮮さが...,好き嫌いがあるかもしれませんが、私にはちょっと香ばしさが欠けるような気がします。,382,2
美味しいだけでない！,心臓病予防の血液サラサラ対策に、毎日20個程度仕事中に食べています。念のために5分ほどオーブントースターで熱してから持ち出していますが、そのまま食べても美味しいです。これを食べだしてから、LDL（悪玉）コレステロール数値が下がり過ぎるくらい下がり、驚きました。おかげさまで治療薬を軽い物に変更でき、薬代も少し浮きました。有難うございます。,384,0
美味しかった♪,以前は違うお店で買ってたのですが、こちらの方が噛んでいると甘みがあっておいしいです！またリピします！,624,3
満足です,今日届いてからすぐに開封。大変美味しく感動しました。他の方も書いているように『オマケ』も付いていて、送料無料。家の近所の店では、値上げしていたり、安いと思っていても送料がかかって結局高くついたり･･･。稲葉商店さんのアーモンドは安くオマケ付きでそれでいて香ばしく美味しいです。少なくなってきたらまた注文したいと思います。,523,0
おいしく、いただきました。,アマゾン他店で購入していないので、比べられませんが、地場のお店で100グラム入りを購入していたのと、風味や味は、遜色ありません。価格的には満足しております。折角なので、1キロ入りｘ2　か　1キロ入りｘ3セット　があるとうれしいかな。それで、まとめた送料分気持ちお安くしていただければなぁと。,38,0
カリッと美味しい,素焼きアーモンドを探してここを発見。思い切って1kgにしたが問題なかった。とても美味しい。毎日減っていきます。一緒に小さいミックスナッツがおまけで入っていました。他のナッツも美味しいのでこの店は当たりです。きっとリピートします。チャックはちゃんと閉まりました。,514,0
空腹時の紛らわし用に購入,最初は素焼きの為、物足りなさを感じたが、何日か食べ続けると、アーモンドの美味しさに気づきます。ダイエットでの空腹を紛らわす時に、食べたりしています。素焼きですので、一般家庭でもお菓子作り等に使えたりと、1kgは直ぐに無くなると思います。オマケに付いて来た、ピーナッツも美味しかったですよ。,525,0
香ばしさがちょうどイイ,味見もせずに購入するのは不安でしたが、レビューの評判を見て購入。とっても香ばしく美味しくて食べ出したら止まりません！間食とお酒のつまみに食べてます。嬉しいオマケもありました♪♪送料無料もイイですねぇ‼またリピさせていただきます‼,58,0
食べ比べても,今まで購入した中で、一番美味しい気がします他に購入したものは、炒りすぎて焦げたような豆もありましたがこちらは、大丈夫でした。500ｇの袋なのも、湿気らなくていいかもチョット、小粒の気もしますが、カリコリと美味しいです。,552,0
リピート買い,2回目の購入でしたが、満足しています。焼き加減もムラが無くていいです。一日25粒前後を食べようと思ってますが、ついつい手が伸びてしまいます。塩ッケはありませんが、アーモンドそのものの味で楽しんでます。,639,0
香ばしくて美味しい！,以前から生アーモンドが良いとのことで生を購入していましたが、素焼きアーモンドが美味しいと聞き購入してみました。どちらが体に良いかは、わかりませんが素焼きのほうがすごく美味しい。ただ、食べすぎは良くないと思います。,509,0
